time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-08 00:00:00+00:00,3.0,2.0,76,27
2024-08-09 00:00:00+00:00,2.0,2.0,69,23
2024-08-10 00:00:00+00:00,,,78,38
2024-08-11 00:00:00+00:00,,,82,27
2024-08-12 00:00:00+00:00,1.0,1.0,73,34
2024-08-13 00:00:00+00:00,2.0,1.0,91,28
2024-08-14 00:00:00+00:00,,,52,25
2024-08-15 00:00:00+00:00,1.0,1.0,268,179
2024-08-16 00:00:00+00:00,2.0,2.0,207,78
2024-08-17 00:00:00+00:00,3.0,1.0,89,47
2024-08-18 00:00:00+00:00,1.0,1.0,83,40
2024-08-19 00:00:00+00:00,2.0,2.0,75,31
2024-08-20 00:00:00+00:00,,,101,42
2024-08-21 00:00:00+00:00,,,94,33
