time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-29 00:00:00+00:00,5.0,5.0,73,23
2024-05-30 00:00:00+00:00,1.0,1.0,64,29
2024-05-31 00:00:00+00:00,4.0,4.0,58,19
2024-06-01 00:00:00+00:00,7.0,4.0,61,27
2024-06-02 00:00:00+00:00,7.0,3.0,54,26
2024-06-03 00:00:00+00:00,6.0,4.0,47,19
2024-06-04 00:00:00+00:00,6.0,4.0,64,25
2024-06-05 00:00:00+00:00,1.0,1.0,59,29
2024-06-06 00:00:00+00:00,6.0,3.0,61,30
2024-06-07 00:00:00+00:00,7.0,3.0,72,32
2024-06-08 00:00:00+00:00,3.0,3.0,159,66
2024-06-09 00:00:00+00:00,5.0,2.0,172,65
2024-06-10 00:00:00+00:00,7.0,4.0,164,68
2024-06-11 00:00:00+00:00,,,89,33
