time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-01 00:00:00+00:00,,,64,23
2024-10-02 00:00:00+00:00,,,59,33
2024-10-03 00:00:00+00:00,5.0,2.0,69,34
2024-10-04 00:00:00+00:00,,,70,34
2024-10-05 00:00:00+00:00,1.0,1.0,52,21
2024-10-06 00:00:00+00:00,4.0,2.0,124,32
2024-10-07 00:00:00+00:00,2.0,2.0,100,32
2024-10-08 00:00:00+00:00,2.0,1.0,81,31
2024-10-09 00:00:00+00:00,,,54,27
2024-10-10 00:00:00+00:00,,,47,26
2024-10-11 00:00:00+00:00,1.0,1.0,94,35
2024-10-12 00:00:00+00:00,1.0,1.0,106,36
2024-10-13 00:00:00+00:00,,,94,29
2024-10-14 00:00:00+00:00,1.0,1.0,29,14
