time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-18 00:00:00+00:00,,,45,24
2024-07-19 00:00:00+00:00,7.0,3.0,55,20
2024-07-20 00:00:00+00:00,,,112,41
2024-07-21 00:00:00+00:00,2.0,1.0,27,14
2024-07-22 00:00:00+00:00,2.0,1.0,88,26
2024-07-23 00:00:00+00:00,,,63,29
2024-07-24 00:00:00+00:00,3.0,1.0,58,24
2024-07-25 00:00:00+00:00,3.0,1.0,60,31
2024-07-26 00:00:00+00:00,3.0,2.0,82,34
2024-07-27 00:00:00+00:00,,,80,37
2024-07-28 00:00:00+00:00,2.0,1.0,79,33
2024-07-29 00:00:00+00:00,4.0,2.0,82,38
2024-07-30 00:00:00+00:00,,,105,28
2024-07-31 00:00:00+00:00,1.0,1.0,101,36
