time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-05 00:00:00+00:00,7,7,58,20
2024-02-06 00:00:00+00:00,2,2,36,21
2024-02-07 00:00:00+00:00,3,3,42,21
2024-02-08 00:00:00+00:00,2,2,32,17
2024-02-09 00:00:00+00:00,4,4,46,19
2024-02-10 00:00:00+00:00,8,6,63,19
2024-02-11 00:00:00+00:00,2,2,49,18
2024-02-12 00:00:00+00:00,7,6,53,23
2024-02-13 00:00:00+00:00,7,5,25,11
2024-02-14 00:00:00+00:00,2,2,30,17
2024-02-15 00:00:00+00:00,6,5,17,9
2024-02-16 00:00:00+00:00,3,3,82,21
2024-02-17 00:00:00+00:00,3,3,36,15
2024-02-18 00:00:00+00:00,1,1,30,16
