time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-23 00:00:00+00:00,6.0,5.0,82,37
2024-03-24 00:00:00+00:00,3.0,2.0,74,31
2024-03-25 00:00:00+00:00,7.0,4.0,47,24
2024-03-26 00:00:00+00:00,1.0,1.0,37,18
2024-03-27 00:00:00+00:00,5.0,4.0,35,16
2024-03-28 00:00:00+00:00,3.0,3.0,20,12
2024-03-29 00:00:00+00:00,2.0,2.0,72,26
2024-03-30 00:00:00+00:00,2.0,2.0,61,23
2024-03-31 00:00:00+00:00,1.0,1.0,42,19
2024-04-01 00:00:00+00:00,7.0,4.0,40,16
2024-04-02 00:00:00+00:00,7.0,4.0,43,17
2024-04-03 00:00:00+00:00,5.0,4.0,28,16
2024-04-04 00:00:00+00:00,2.0,2.0,31,15
2024-04-05 00:00:00+00:00,,,33,20
