time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-16 00:00:00+00:00,2.0,2.0,207,78
2024-08-17 00:00:00+00:00,3.0,1.0,89,47
2024-08-18 00:00:00+00:00,1.0,1.0,83,40
2024-08-19 00:00:00+00:00,2.0,2.0,75,31
2024-08-20 00:00:00+00:00,,,101,42
2024-08-21 00:00:00+00:00,,,98,36
2024-08-22 00:00:00+00:00,3.0,2.0,148,46
2024-08-23 00:00:00+00:00,9.0,4.0,87,34
2024-08-24 00:00:00+00:00,2.0,1.0,39,19
2024-08-25 00:00:00+00:00,1.0,1.0,84,32
2024-08-26 00:00:00+00:00,1.0,1.0,110,33
2024-08-27 00:00:00+00:00,2.0,1.0,64,28
2024-08-28 00:00:00+00:00,3.0,1.0,82,33
2024-08-29 00:00:00+00:00,,,54,26
