time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-08 00:00:00+00:00,2.0,2.0,32,17
2024-02-09 00:00:00+00:00,4.0,4.0,46,19
2024-02-10 00:00:00+00:00,8.0,6.0,63,19
2024-02-11 00:00:00+00:00,2.0,2.0,49,18
2024-02-12 00:00:00+00:00,7.0,6.0,53,23
2024-02-13 00:00:00+00:00,7.0,5.0,25,11
2024-02-14 00:00:00+00:00,2.0,2.0,30,17
2024-02-15 00:00:00+00:00,6.0,5.0,17,9
2024-02-16 00:00:00+00:00,3.0,3.0,82,21
2024-02-17 00:00:00+00:00,3.0,3.0,36,15
2024-02-18 00:00:00+00:00,3.0,3.0,34,19
2024-02-19 00:00:00+00:00,13.0,7.0,26,12
2024-02-20 00:00:00+00:00,7.0,3.0,99,21
2024-02-21 00:00:00+00:00,,,56,16
